AT_SERIAL,DATE,LOAD_ZONE_LAT,LOAD_ZONE_LON,Latitude,Longitude,HEX,DZ_LZ_TRAVEL_START,DZ_LZ_TRAVEL_END,DZ_LZ_TRAVEL_DURATION,DZ_LZ_DISTANCE_TRAVELED_KM,D_L_AT_FUEL,DZ_LZ_AVG_SPD,25METER_QUEUE_ZONE_ENTER,25METER_QUEUE_ZONE_END,QUEUE_ZONE_DURATION,AT_LOADING_START,AT_LOADING_END,AT_LOADING_DURATION,AT_DUMP_START,AT_DUMP_END,AT_DUMP_DURATION,LZ_DZ_TRAVEL_DURATION,LZ_DZ_DISTANCE_TRAVELED_KM,L_D_AT_FUEL,LZ_DZ_AVG_SPD,CYCLE_TIME,D_L_IDLE,D_L_TRAVEL_ONLY,L_D_IDLE,L_D_TRAVEL_ONLY,D_L_IDLE_PERCENT,L_D_IDLE_PERCENT,QUEUE_PERCENTAGE,LOADING_PERCENTAGE,L_D_TRAVEL_PERCENTAGE,D_L_TRAVEL_PERCENTAGE,Capacity,cycleid,zone,site,Day,DailyRainfall,TractorTime,AT_MODEL
B1P06067,"2015-06-23 00:00:00",30.052,-95.6476,30.052,-95.648,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 07:42:27","2015-06-23 07:42:53",26,"0 days 00:02:03.000000000",0.33,2.29836967989,5.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31.4,33,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0519,-95.6451,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6476,30.052,-95.648,HPD00128,"2015-06-23 07:42:54","2015-06-23 07:48:13","0 days 00:05:19",0.33,1.95673808869,1.98183476875,"2015-06-23 07:44:38","2015-06-23 07:46:18",1.6666666666666665,"2015-06-23 07:46:17","2015-06-23 07:48:13",116.0,"2015-06-23 07:50:57","2015-06-23 07:51:15",18,"0 days 00:02:44.000000000",0.35,2.78998537737,4.48,8.366666666666667,95.0,108.0,2.0,162.0,19.0,0.0,0.0,23.0,32.0,22.0,31.4,34,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0519,-95.6449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 07:48:13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6476,30.052,-95.648,HPD00128,"2015-06-23 07:51:16","2015-06-23 07:56:50","0 days 00:05:34",0.37,2.14109896157,2.08133913433,"2015-06-23 07:52:43","2015-06-23 07:54:49",2.1,"2015-06-23 07:54:48","2015-06-23 07:56:50",122.0,"2015-06-23 07:58:58","2015-06-23 07:59:16",18,"0 days 00:02:08.000000000",0.34,2.41744027011,5.25,8.016666666666667,103.0,109.0,0.0,128.0,21.0,0.0,26.0,25.0,27.0,23.0,31.4,35,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 07:56:50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6477,30.052,-95.648,HPD00128,"2015-06-23 07:59:17","2015-06-23 08:05:30","0 days 00:06:13",0.41,2.392072927,1.97634882713,"2015-06-23 08:03:10","2015-06-23 08:03:24",0.23333333333333334,"2015-06-23 08:03:22","2015-06-23 08:05:30",128.0,"2015-06-23 08:07:46","2015-06-23 08:08:04",18,"0 days 00:02:16.000000000",0.34,2.67785221573,5.04,8.8,137.0,108.0,0.0,136.0,26.0,0.0,3.0,24.0,26.0,20.0,31.4,36,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.0521,-95.6449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:05:30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,Dump,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",30.052,-95.6476,30.052,-95.648,HPD00128,"2015-06-23 08:08:05","2015-06-23 08:13:22","0 days 00:05:17",0.44,2.34185105614,2.45627559561,"2015-06-23 08:09:53","2015-06-23 08:11:52",1.9833333333333334,"2015-06-23 08:11:51","2015-06-23 08:13:22",91.0,"2015-06-23 08:15:35","2015-06-23 08:15:53",18,"0 days 00:02:13.000000000",0.37,2.73000734013,5.6,7.816666666666666,98.0,128.0,0.0,133.0,21.0,0.0,25.0,19.0,28.0,27.0,31.4,37,Load,"Ranger SH 99",2015-06-23,0,0,740
B1P06067,"2015-06-23 00:00:00",NULL,NULL,30.052,-95.6447,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-06-23 08:13:22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,Dump,"Ranger SH 99",2015-06-23,0,0,740
